pricebandupper,Token,symbol,companyName,marketType,dayHigh,basePrice,pricebandlower,dayLow,pChange,averagePrice,cm_ffm,high52,previousClose,low52,priceBand,varMargin,change,series,faceValue,closePrice,open,isinCode,lastPrice
81715,,MRF,MRF Limited,N,74445,74286.4,66857.8,73918,-0.23,74163.56,15438.92,98599.95,74286.4,68700,No Band,10.25,-171.35,EQ,10,74291.3,74286,INE883A01011,74115.05
47998.85,,PAGEIND,Page Industries Limited,N,44046.6,43635.35,39271.85,43225.5,0.15,43776.28,25309.58,44397.25,43635.35,27000,No Band,13,63.65,EQ,10,43637.1,43225.5,INE761H01022,43699
47911.95,,HONAUT,Honeywell Automation India Limited,N,43762.5,43556.35,39200.75,43300.95,-0.09,43540.36,9624.22,49990,43556.35,37710.55,No Band,12.56,-41.3,EQ,10,43541,43555,INE671A01010,43515.05
29639.55,,SHREECEM,SHREE CEMENT LIMITED,N,27220,26945.05,24250.55,26800,0.2,27051.77,36096.13,32048,26945.05,22531,No Band,11.44,53.15,EQ,10,27038.55,27000.5,INE070A01015,26998.2
30677.45,,3MINDIA,3M India Limited,N,25741.9,25564.55,20451.65,24834.65,-1.36,25418.37,7120.26,31000,25564.55,18777,20,11.75,-347.55,EQ,10,25282.6,25521,INE470A01017,25217
21678.8,,NESTLEIND,Nestle India Limited,N,19825,19708,17737.2,19550,0.27,19729.35,70498.41,20609.15,19708,16002.1,No Band,9,53.1,EQ,10,19761.95,19550,INE239A01016,19761.1
20145.45,,ABBOTINDIA,Abbott India Limited,N,18449.95,18314.05,16482.65,18065.05,-0.62,18180.46,9652.18,23934.45,18314.05,13959.8,No Band,11.17,-114.05,EQ,10,18169.4,18399.8,INE358A01014,18200
19578.65,,BAJAJFINSV,Bajaj Finserv Limited,N,17935.05,17798.8,16018.95,17621.1,0.01,17780.03,107637.54,19325,17798.8,8273.7,No Band,15.54,1.2,EQ,5,17799.5,17700,INE918I01018,17800
19161.25,,BOSCHLTD,Bosch Limited,N,17528,17419.35,15677.45,17239.25,-0.69,17370.21,14785.54,19250,17419.35,13225,No Band,13.5,-119.45,EQ,10,17286.65,17420,INE323A01026,17299.9
18934.6,,PGHH,Procter & Gamble Hygiene and Health Care Limited,N,16046.8,15778.85,12623.1,15700,-0.5,15889.62,14827.24,16314.3,15778.85,11100,20,9,-78.85,EQ,10,15750.85,15780,INE179A01014,15700
16898.2,,TASTYBITE,Tasty Bite Eatables Limited,N,14139.95,14081.85,11265.5,13851.35,-0.76,13980.98,935.77,21487,14081.85,11500,20,17.32,-106.55,EQ,10,14026.15,14139.95,INE488B01017,13975.3
14658.8,,BHARATRAS,Bharat Rasayan Limited,N,12317.9,12215.7,9772.6,11875,-1.77,12080.66,1244.76,15131.7,12215.7,9255,20,18.59,-215.7,EQ,10,11982.5,12307.2,INE838B01013,12000
10487.75,,ATUL,Atul Limited,N,9767.9,9534.35,8580.95,9455.2,1.21,9652.01,15762.72,10969,9534.35,6222,No Band,12.47,115.6,EQ,10,9686.5,9548.9,INE100A01010,9649.95
11515.6,,LAXMIMACH,Lakshmi Machine Works Limited,N,9765,9596.35,7677.1,9561,0.18,9681.63,6473.56,9954.5,9596.35,4737.85,20,15.37,17.65,EQ,10,9618.55,9610,INE269B01029,9614
11108.25,,SCHAEFFLER,Schaeffler India Limited,N,9651,9256.9,7405.55,9262.45,3.17,9531.2,7768.79,9651,9256.9,4257.95,20,11.19,293.1,EQ,10,9558.3,9313.9,INE513A01014,9550
10083.45,,WABCOINDIA,WABCO India Limited,N,8569.45,8402.9,6722.35,8375,-0.03,8441,3983.07,8780.05,8402.9,5262,20,11.56,-2.9,EQ,5,8399.75,8555,INE342J01019,8400
8938.15,,MARUTI,Maruti Suzuki India Limited,N,8162.45,8125.6,7313.05,8069.3,0.15,8114.03,108244.17,8368,8125.6,6400,No Band,12.18,12.4,EQ,5,8143.85,8100,INE585B01010,8138
8504.4,,BAJFINANCE,Bajaj Finance Limited,N,7759.95,7731.3,6958.2,7571,-0.89,7652.14,203697.04,8050,7731.3,4362,No Band,16.09,-69,EQ,2,7669.85,7739,INE296A01024,7662.3
8343.65,,ULTRACEMCO,UltraTech Cement Limited,N,7679.4,7585.15,6826.65,7561.2,0.31,7615.03,87826.9,8269,7585.15,5260,No Band,10.93,23.6,EQ,10,7606.3,7609.7,INE481G01011,7608.75
9023.2,,SANOFI,Sanofi India Limited,N,7638,7519.35,6015.5,7503.3,1.07,7578.51,6991.5,9285,7519.35,7056.55,20,9,80.65,EQ,10,7589.35,7550,INE058A01010,7600
7813.9,,LTI,Larsen & Toubro Infotech Limited,N,7235,7103.55,6393.2,7051,0.96,7157.71,32683.94,7588.8,7103.55,3525,No Band,15.41,68.45,EQ,1,7174.15,7100,INE214T01019,7172
8118.7,,BLUEDART,Blue Dart Express Limited,N,7070.3,6765.6,5412.5,6703.25,3.75,6922.23,4159.27,7275,6765.6,3820.05,20,13.95,253.4,EQ,10,7011.6,6750,INE233B01017,7019
7262.95,,INDIAMART,Indiamart Intermesh Limited,N,6639.95,6602.7,5942.45,6485,-1.49,6522.5,9939.75,9950,6602.7,6290,No Band,18.53,-98.7,EQ,10,6504.1,6639.95,INE933S01016,6504
7286.8,,HLEGLAS,HLE Glascoat Limited,N,6255,6072.35,4857.9,6010.7,2.1,6172.99,2115.87,7550,6072.35,1755,20,19.59,127.65,EQ,10,6198.95,6148,INE461D01010,6200
7191.5,,TATAELXSI,Tata Elxsi Limited,N,6042.9,5992.95,4794.4,5925,-0.54,5969.95,20341.43,6730,5992.95,2025,20,16.9,-32.55,EQ,10,5938.75,6010,INE670A01012,5960.4
6138.6,,COFORGE,Coforge Limited,N,5887.9,5580.55,5022.5,5614.95,3.29,5788.19,17200.34,6135,5580.55,2300,No Band,18.33,183.45,EQ,10,5767.15,5616.7,INE591G01017,5764
6157.65,,LTTS,L&T Technology Services Limited,N,5690,5597.9,5038.15,5581.95,0.77,5642.31,15487.45,5955.5,5597.9,2301,No Band,16.59,43.1,EQ,2,5646.95,5599.95,INE010V01017,5641
6112.85,,NAUKRI,Info Edge (India) Limited,N,5672.8,5557.15,5001.45,5501.75,1.14,5599.07,43566.64,7465.4,5557.15,4023.9,No Band,16.11,63.1,EQ,10,5638.2,5507,INE663F01024,5620.25
6217.8,,WENDT,Wendt (India) Limited,N,5525.05,5181.5,4145.2,5190.05,4.04,5401.07,270.06,5690,5181.5,3054.55,20,17.29,209.5,EQ,10,5401.15,5247.95,INE274C01019,5391
5556.85,,SAREGAMA,Saregama India Limited,N,5379,5292.25,5027.65,5252,0.15,5298.92,4182.4,5505.85,5292.25,801.05,5,100,7.75,BE,10,5290.7,5300,INE979A01017,5300
5819.2,,DIXON,Dixon Technologies (India) Limited,N,5328.3,5290.2,4761.2,5258.65,-0.42,5288.22,19371.36,21499,5290.2,3345.15,No Band,16.65,-22.25,EQ,2,5265.1,5296.5,INE935N01020,5267.95
6355.6,,GILLETTE,Gillette India Limited,N,5319.55,5296.35,4237.1,5255.5,-0.57,5279.73,4287.16,6275,5296.35,5202,20,9,-30.35,EQ,10,5262.7,5300,INE322A01010,5266
6249.8,,BAJAJHLDNG,Bajaj Holdings & Investment Limited,N,5256.35,5208.2,4166.6,5180.6,0.23,5217.34,26151.86,5660.4,5208.2,3120.05,20,12.76,11.8,EQ,10,5221.8,5200.05,INE118A01012,5220
6136.4,,PGHL,Procter & Gamble Health Limited,N,5173.95,5113.7,4091,5062.1,1.02,5136.5,4115.68,7500,5113.7,4903,20,11.05,52.3,EQ,10,5165.45,5138.25,INE199A01012,5166
6054.3,,GMMPFAUDLR,GMM Pfaudler Limited,N,5174.3,5045.25,4036.2,5041.9,0.43,5114.94,3347.78,5435,5045.25,3535,20,16.39,21.75,EQ,2,5089.45,5075,INE541A01023,5067
6048.4,,BAYERCROP,Bayer Cropscience Limited,N,5117.95,5040.35,4032.3,5003.45,0.31,5083.26,6631.1,6130,5040.35,4512,20,10.81,15.7,EQ,10,5087.85,5040,INE462A01022,5056.05
5571.75,,APOLLOHOSP,Apollo Hospitals Enterprise Limited,N,5141.5,5065.25,4558.75,5020.3,-0.26,5095.4,50918.96,5935.4,5065.25,2437.75,No Band,16.59,-13.3,EQ,5,5059.05,5050,INE437A01024,5051.95
5421.45,,PFIZER,Pfizer Limited,N,4967.95,4928.6,4435.75,4892.05,-0.42,4924.48,7630.2,6175,4928.6,4330,No Band,11.57,-20.6,EQ,10,4905.55,4925.85,INE182A01018,4908
5887.9,,CERA,Cera Sanitaryware Limited,N,4969.7,4906.6,3925.3,4885.7,-0.13,4925.65,2932.75,6450,4906.6,3300,20,14.56,-6.35,EQ,5,4902.05,4931.15,INE739E01017,4900.25
5168.95,,DRREDDY,Dr. Reddy's Laboratories Limited,N,4739.9,4699.05,4229.15,4660.55,-0.72,4692.93,56724.07,5614.6,4699.05,4135,No Band,10.25,-34.05,EQ,5,4669.25,4710,INE089A01023,4665
5011.85,,MINDTREE,MindTree Limited,N,4619.25,4556.25,4100.65,4539,0.59,4588.77,29460.34,5060,4556.25,1550.2,No Band,16.14,26.75,EQ,10,4583.55,4579.7,INE018I01017,4583
4521.75,,VHL,Vardhman Holdings Limited,N,4521.75,4110.7,3699.65,4050.05,10,4371.36,357.19,4597.6,4110.7,1335,10,20.77,411.05,EQ,10,4487.55,4080,INE701A01023,4521.75
4912.35,,DIVISLAB,Divi's Laboratories Limited,N,4539.85,4465.8,4019.25,4434.25,1.14,4517.02,57552.1,5425.1,4465.8,3153.3,No Band,11.28,50.7,EQ,2,4516.55,4475,INE361B01024,4516.5
5560.25,,DMART,Avenue Supermarts Limited,N,4654.9,4633.55,3706.85,4499,-2.67,4537.5,67117.68,5900,4633.55,2610,20,12.95,-123.55,EQ,10,4504.9,4649,INE192R01011,4510
4943.2,,PERSISTENT,Persistent Systems Limited,N,4539.45,4493.85,4044.5,4476.1,0.11,4500.28,22314.32,4987.5,4493.85,1482.25,No Band,15,5.15,EQ,10,4491.95,4500,INE262H01013,4499
5330.85,,HIL,HIL Limited,N,4494.7,4442.4,3553.95,4394,-0.36,4435.29,1826.71,6758.05,4442.4,2116.3,20,19.9,-16.15,EQ,10,4420.2,4482.25,INE557A01011,4426.25
4458.65,,NAVINFLUOR,Navin Fluorine International Limited,N,4175.1,4053.35,3648.05,4014.35,2.58,4119.44,14371.55,4329,4053.35,2217.4,No Band,17.28,104.65,EQ,2,4146.15,4069.9,INE048G01026,4158
4493.2,,OFSS,Oracle Financial Services Software Limited,N,4157,4084.75,3676.3,4057.9,1.65,4128.3,9644.75,5145,4084.75,2931.05,No Band,12.2,67.25,EQ,5,4142.5,4088,INE881D01027,4152
5002.65,,JSWHL,JSW Holdings Limited,N,4249,4168.9,3335.15,4023.65,-2.25,4161.93,1722.47,6000,4168.9,3400,20,15.52,-93.8,EQ,10,4083.75,4249,INE824G01012,4075.1
4947.9,,TEAMLEASE,Teamlease Services Limited,N,4179.4,4123.25,3298.6,4021.05,-1.56,4071.24,4656.73,5550,4123.25,2651,20,16.22,-64.35,EQ,10,4065.3,4100,INE985S01024,4058.9
4810.2,,MAHSCOOTER,Maharashtra Scooters Limited,N,4050,4008.5,3206.8,3986.05,-0.24,4012.16,2239.89,5050,4008.5,3275,20,14.7,-9.5,EQ,10,3999.8,4049.4,INE288A01013,3999
4726.7,,SKFINDIA,SKF India Limited,N,4040.45,3938.95,3151.2,3901,-0.23,3966.28,9140.28,4239.95,3938.95,1734,20,14.16,-8.95,EQ,10,3933.7,3947,INE640A01023,3930
4267.8,,TCS,Tata Consultancy Services Limited,N,3925,3879.85,3491.9,3856,0.96,3896.95,405583.23,3989.9,3879.85,2880,No Band,9.12,37.15,EQ,1,3915.9,3856,INE467B01029,3917
4546.95,,VMART,V-Mart Retail Limited,N,3920,3789.15,3031.35,3711.9,2.66,3847.23,4149.26,4848.8,3789.15,2323.05,20,16.46,100.85,EQ,10,3892.5,3849.95,INE665J01013,3890
4557.05,,SUNCLAYLTD,Sundaram Clayton Limited,N,3849,3797.55,3038.05,3765,1.33,3824.38,1935.55,5097.7,3797.55,2627.95,20,15.91,50.45,EQ,5,3826.7,3765,INE105A01035,3848
4160.45,,JUBLFOOD,Jubilant Foodworks Limited,N,3879.85,3782.25,3404.05,3782.25,0.34,3831.79,29136.49,4590,3782.25,2543.95,No Band,14.43,12.75,EQ,10,3806.6,3782.25,INE797F01012,3795
4634.85,,GLAND,Gland Pharma Limited,N,3907,3862.4,3089.95,3745,-2.55,3788.74,19181.84,4350,3862.4,2071,20,13.58,-98.4,EQ,1,3766.05,3849,INE068V01023,3764
4145.1,,BRITANNIA,Britannia Industries Limited,N,3800.95,3768.3,3391.5,3738.1,-0.59,3767.1,44181.06,4153,3768.3,3317.3,No Band,9.37,-22.2,EQ,1,3743.35,3768.3,INE216A01030,3746.1
4350.4,,FINEORG,Fine Organic Industries Limited,N,3780,3625.35,2900.3,3624.4,3.02,3727.22,2867.86,4048.75,3625.35,2127.15,20,15.82,109.65,EQ,5,3741.5,3655.25,INE686Y01026,3735
4110.2,,ALKEM,Alkem Laboratories Limited,N,3786,3736.55,3362.9,3700,-0.64,3747.65,17280.28,4070,3736.55,2540.05,No Band,10.47,-23.9,EQ,2,3705.8,3740,INE540L01014,3712.65
4408.1,,BALAMINES,Balaji Amines Limited,N,3709,3673.45,2938.8,3617.55,0.26,3672.91,3701.88,5223.55,3673.45,1065.35,20,24.26,9.55,EQ,2,3685.55,3665,INE050E01027,3683
4392.45,,ALKYLAMINE,Alkyl Amines Chemicals Limited,N,3695,3660.4,2928.35,3635.5,0.54,3678.67,5248.42,4749,3660.4,1864.4,20,20.29,19.6,EQ,2,3670.15,3676.55,INE150B01039,3680
4064.15,,LALPATHLAB,Dr. Lal Path Labs Ltd.,N,3742.4,3694.7,3325.25,3660,-0.59,3681.29,11921.03,4245.5,3694.7,2198.15,No Band,15.05,-21.8,EQ,10,3667.5,3680,INE600L01024,3672.9
4426.55,,LUXIND,Lux Industries Limited,N,3750,3688.8,2951.05,3665,-0.46,3697.02,2871.82,4644,3688.8,1567.1,20,15.72,-16.8,EQ,2,3673.05,3711.55,INE150G01020,3672
3908.85,,ASIANPAINT,Asian Paints Limited,N,3564,3553.5,3198.15,3495.05,-0.52,3530.4,159534.98,3590,3553.5,2260,No Band,10.97,-18.45,EQ,1,3538.75,3550.6,INE021A01026,3535.05
3915.85,,JKCEMENT,JK Cement Limited,N,3581.95,3559.9,3203.95,3483,-2.08,3521.21,11325.66,3838,3559.9,2041.35,No Band,14.23,-73.9,EQ,10,3489.9,3545,INE823G01014,3486
4199.7,,AMBER,Amber Enterprises India Limited,N,3597,3499.75,2799.8,3435,-0.85,3518.51,5852.26,3788.65,3499.75,2401,20,16.7,-29.75,EQ,10,3473.8,3494,INE371P01015,3470
3778.6,,BAJAJ-AUTO,Bajaj Auto Limited,N,3445.95,3435.1,3091.6,3413,,3434.94,44751.69,4361.4,3435.1,3027.05,No Band,10.27,-0.1,EQ,10,3436.75,3413,INE917I01010,3435
4082.45,,ICRA,ICRA Limited,N,3431.3,3402.05,2721.65,3382.95,0.65,3411.04,1580.08,4150,3402.05,2604.15,20,13.39,21.95,EQ,10,3410.8,3398.65,INE725G01011,3424
4103.2,,ESABINDIA,Esab India Limited,N,3449,3419.35,2735.5,3342.25,-2.11,3380.05,1345.15,3615,3419.35,1710,20,17.02,-72,EQ,10,3361.05,3449,INE284A01012,3347.35
3977.2,,GARFIBRES,Garware Technical Fibres Limited,N,3350,3314.35,2651.5,3279.8,0.47,3310.56,3134.68,4030,3314.35,2125.1,20,14.09,15.55,EQ,10,3305.1,3350,INE276A01018,3329.9
3957.4,,SFL,Sheela Foam Limited,N,3325,3297.85,2638.3,3279.5,0.37,3299.49,4346.02,3487,3297.85,1905.15,20,13,12.15,EQ,5,3299.6,3325,INE916U01025,3310
3521,,MPHASIS,MphasiS Limited,N,3244,3200.95,2880.9,3188.8,0.16,3211.83,26457.49,3659.75,3200.95,1511,No Band,14.96,5.25,EQ,10,3207.45,3220,INE356A01018,3206.2
3552.9,,BASF,BASF India Limited,N,3219,2960.75,2368.6,2953,7.68,3158.15,3714.99,3930,2960.75,1550,20,17.05,227.25,EQ,10,3178.7,2953,INE373A01013,3188
3818.8,,VSTIND,VST Industries Limited,N,3197,3182.35,2545.9,3130.85,0.11,3154.12,1720.9,3895,3182.35,3035,20,9,3.65,EQ,10,3184.1,3197,INE710A01016,3186
3537.85,,METROPOLIS,Metropolis Healthcare Limited,N,3234.4,3216.25,2894.65,3160,-1.39,3198.84,8109.12,3579.9,3216.25,1848,No Band,17.02,-44.65,EQ,2,3169.45,3219,INE112L01020,3171.6
