token,symbol,name,stocks
14537,DISHTV-EQ,DISHTV,NSE
2106,MANGLMCEM-EQ,MANGLMCEM,NSE
10999,MARUTI-EQ,MARUTI,NSE
17939,HINDCOPPER-EQ,HINDCOPPER,NSE
13688,GATI-EQ,GATI,NSE
18883,SJVN-EQ,SJVN,NSE
11654,LALPATHLAB-EQ,LALPATHLAB,NSE
184,TCPLPACK-EQ,TCPLPACK,NSE
3481,THOMASCOOK-EQ,THOMASCOOK,NSE
11184,IDFCFIRSTB-EQ,IDFCFIRSTB,NSE
18102,KOTAKNIFTY-EQ,KOTAKNIFTY,NSE
19126,KIOCL-EQ,KIOCL,NSE
4749,CONCOR-EQ,CONCOR,NSE
2412,PEL-EQ,PEL,NSE
3646,VARDMNPOLY-EQ,VARDMNPOLY,NSE
2970,SURYODAY-EQ,SURYODAY,NSE
20188,WABAG-EQ,WABAG,NSE
15161,HITECHCORP-EQ,HITECHCORP,NSE
3507,MAFANG-EQ,MAFANG,NSE
21362,SALASAR-EQ,SALASAR,NSE
24225,RELAXO-EQ,RELAXO,NSE
17395,SETF10GILT-EQ,SETF10GILT,NSE
10238,CONFIPET-EQ,CONFIPET,NSE
21462,SPTL-EQ,SPTL,NSE
23650,MUTHOOTFIN-EQ,MUTHOOTFIN,NSE
4391,GULFOILLUB-EQ,GULFOILLUB,NSE
15219,PATINTLOG-EQ,PATINTLOG,NSE
958,ESCORTS-EQ,ESCORTS,NSE
2837,RANASUG-EQ,RANASUG,NSE
3757,VENKEYS-EQ,VENKEYS,NSE
9678,SOUTHWEST-EQ,SOUTHWEST,NSE
25358,PGEL-EQ,PGEL,NSE
2112,MARALOVER-EQ,MARALOVER,NSE
29553,ICICINIFTY-EQ,ICICINIFTY,NSE
3626,ICICIPHARM-EQ,ICICIPHARM,NSE
21740,CHOLAHLDNG-EQ,CHOLAHLDNG,NSE
3220,LODHA-EQ,LODHA,NSE
5449,CHEMPLASTS-EQ,CHEMPLASTS,NSE
2664,PIDILITIND-EQ,PIDILITIND,NSE
15136,KAUSHALYA-EQ,KAUSHALYA,NSE
2955,KALYANKJIL-EQ,KALYANKJIL,NSE
48,HAPPSTMNDS-EQ,HAPPSTMNDS,NSE
6596,SONATSOFTW-EQ,SONATSOFTW,NSE
12022,AURIONPRO-EQ,AURIONPRO,NSE
13920,PLASTIBLEN-EQ,PLASTIBLEN,NSE
1041,FINPIPE-EQ,FINPIPE,NSE
14398,AMDIND-EQ,AMDIND,NSE
10397,JISLJALEQS-EQ,JISLJALEQS,NSE
489,ICEMAKE-EQ,ICEMAKE,NSE
7358,DATAPATTNS-EQ,DATAPATTNS,NSE
1805,KABRAEXTRU-EQ,KABRAEXTRU,NSE
11723,JSWSTEEL-EQ,JSWSTEEL,NSE
22433,HBANKETF-EQ,HBANKETF,NSE
8840,USHAMART-EQ,USHAMART,NSE
10717,TIMESGTY-EQ,TIMESGTY,NSE
22,ACC-EQ,ACC,NSE
2004,AHLADA-EQ,AHLADA,NSE
13275,INDOTECH-EQ,INDOTECH,NSE
11423,DATAMATICS-EQ,DATAMATICS,NSE
148,ANSALAPI-EQ,ANSALAPI,NSE
30089,ORIENTCEM-EQ,ORIENTCEM,NSE
3417,HONAUT-EQ,HONAUT,NSE
17,SCAPDVR-EQ,SCAPDVR,NSE
11606,GUFICBIO-EQ,GUFICBIO,NSE
17598,ASALCBR-EQ,ASALCBR,NSE
2963,SAIL-EQ,SAIL,NSE
2018,LUMAXIND-EQ,LUMAXIND,NSE
3129,SHREYAS-EQ,SHREYAS,NSE
11496,AMBICAAGAR-EQ,AMBICAAGAR,NSE
9931,VIKASLIFE-EQ,VIKASLIFE,NSE
14043,SARLAPOLY-EQ,SARLAPOLY,NSE
3411,TATAELXSI-EQ,TATAELXSI,NSE
1628,BECTORFOOD-EQ,BECTORFOOD,NSE
24924,ELGIRUBCO-EQ,ELGIRUBCO,NSE
7456,DSPQ50ETF-EQ,DSPQ50ETF,NSE
17851,DLINKINDIA-EQ,DLINKINDIA,NSE
13560,GRINDWELL-EQ,GRINDWELL,NSE
13844,MMFL-EQ,MMFL,NSE
11343,AFFLE-EQ,AFFLE,NSE
7339,ABSLNN50ET-EQ,ABSLNN50ET,NSE
7083,STARHEALTH-EQ,STARHEALTH,NSE
17945,SUVENPHAR-EQ,SUVENPHAR,NSE
6705,PAYTM-EQ,PAYTM,NSE
24595,RUSHIL-EQ,RUSHIL,NSE
913,EQUITASBNK-EQ,EQUITASBNK,NSE
2799,CHEMFAB-EQ,CHEMFAB,NSE
18142,EMMBI-EQ,EMMBI,NSE
5748,CYIENT-EQ,CYIENT,NSE
14917,TAKE-EQ,TAKE,NSE
18571,GNA-EQ,GNA,NSE
5020,SVPGLOB-EQ,SVPGLOB,NSE
