Date,High,Low,Open,HighLow,Movement %,MoreThan5,MoreThan8,MoreThan10,MoreThan12,MoreThan15,MoreThan18,MoreThan20
2021-01-11,8.2,7.55,7.65,0.6499999999999995,8.5,True,True,False,False,False,False,False
2021-01-12,7.9,7.2,7.35,0.7000000000000002,9.5,True,True,False,False,False,False,False
2021-01-13,7.65,7.0,7.6,0.6500000000000004,8.6,True,True,False,False,False,False,False
2021-01-14,7.9,7.55,7.55,0.35000000000000053,4.6,False,False,False,False,False,False,False
2021-01-15,8.25,7.55,7.9,0.7000000000000002,8.9,True,True,False,False,False,False,False
2021-01-18,8.65,8.2,8.65,0.45000000000000107,5.2,True,False,False,False,False,False,False
2021-01-19,9.0,8.3,9.0,0.6999999999999993,7.8,True,False,False,False,False,False,False
2021-01-20,8.8,8.15,8.65,0.6500000000000004,7.5,True,False,False,False,False,False,False
2021-01-21,9.2,8.45,9.1,0.75,8.2,True,True,False,False,False,False,False
2021-01-22,9.6,8.8,8.85,0.7999999999999989,9.0,True,True,False,False,False,False,False
2021-01-25,9.8,8.9,9.8,0.9000000000000004,9.2,True,True,False,False,False,False,False
2021-01-27,9.25,8.5,8.5,0.75,8.8,True,True,False,False,False,False,False
2021-01-28,9.0,8.2,8.3,0.8000000000000007,9.6,True,True,False,False,False,False,False
2021-01-29,9.35,8.55,9.3,0.7999999999999989,8.6,True,True,False,False,False,False,False
2021-02-01,8.85,8.2,8.25,0.6500000000000004,7.9,True,False,False,False,False,False,False
2021-02-02,8.7,8.05,8.5,0.6499999999999986,7.6,True,False,False,False,False,False,False
2021-02-03,9.1,8.65,8.9,0.4499999999999993,5.1,True,False,False,False,False,False,False
2021-02-04,9.55,8.7,8.7,0.8500000000000014,9.8,True,True,False,False,False,False,False
2021-02-05,10.5,9.8,10.3,0.6999999999999993,6.8,True,False,False,False,False,False,False
2021-02-08,10.95,10.35,10.95,0.5999999999999996,5.5,True,False,False,False,False,False,False
2021-02-09,10.95,10.1,10.95,0.8499999999999996,7.8,True,False,False,False,False,False,False
2021-02-10,11.0,9.75,9.8,1.25,12.8,True,True,True,True,False,False,False
2021-02-11,11.8,11.0,11.0,0.8000000000000007,7.3,True,False,False,False,False,False,False
2021-02-12,12.9,10.7,12.9,2.200000000000001,17.1,True,True,True,True,True,False,False
2021-02-15,13.0,11.05,13.0,1.9499999999999993,15.0,True,True,True,True,True,False,False
2021-02-16,12.7,11.55,12.7,1.1499999999999986,9.1,True,True,False,False,False,False,False
2021-02-17,12.75,11.4,11.5,1.3499999999999996,11.7,True,True,True,False,False,False,False
2021-02-18,12.85,11.5,12.25,1.3499999999999996,11.0,True,True,True,False,False,False,False
2021-02-19,12.75,11.0,12.75,1.75,13.7,True,True,True,True,False,False,False
2021-02-22,11.95,10.85,10.85,1.0999999999999996,10.1,True,True,True,False,False,False,False
2021-02-23,12.7,11.0,12.1,1.6999999999999993,14.0,True,True,True,True,False,False,False
2021-02-24,13.0,11.65,12.95,1.3499999999999996,10.4,True,True,True,False,False,False,False
2021-02-25,12.9,12.0,12.9,0.9000000000000004,7.0,True,False,False,False,False,False,False
2021-02-26,12.4,11.8,11.9,0.5999999999999996,5.0,True,False,False,False,False,False,False
2021-03-01,12.55,11.7,11.85,0.8500000000000014,7.2,True,False,False,False,False,False,False
2021-03-02,12.3,11.1,12.0,1.200000000000001,10.0,True,True,True,False,False,False,False
2021-03-03,12.05,11.05,11.5,1.0,8.7,True,True,False,False,False,False,False
2021-03-04,11.95,11.5,11.5,0.4499999999999993,3.9,False,False,False,False,False,False,False
2021-03-05,12.1,10.6,11.7,1.5,12.8,True,True,True,True,False,False,False
2021-03-08,11.75,10.7,11.1,1.0500000000000007,9.5,True,True,False,False,False,False,False
2021-03-09,12.5,10.7,12.5,1.8000000000000007,14.4,True,True,True,True,False,False,False
2021-03-10,13.2,12.0,12.35,1.1999999999999993,9.7,True,True,False,False,False,False,False
2021-03-12,14.3,13.05,13.05,1.25,9.6,True,True,False,False,False,False,False
2021-03-15,15.7,15.05,15.4,0.6499999999999986,4.2,False,False,False,False,False,False,False
2021-03-16,16.15,14.8,15.6,1.3499999999999979,8.7,True,True,False,False,False,False,False
2021-03-17,14.9,14.15,14.9,0.75,5.0,True,False,False,False,False,False,False
2021-03-18,14.75,13.45,14.15,1.3000000000000007,9.2,True,True,False,False,False,False,False
2021-03-19,14.35,13.05,13.5,1.299999999999999,9.6,True,True,False,False,False,False,False
2021-03-22,14.9,13.7,14.85,1.200000000000001,8.1,True,True,False,False,False,False,False
2021-03-23,15.4,14.65,15.4,0.75,4.9,False,False,False,False,False,False,False
2021-03-24,15.15,14.25,15.15,0.9000000000000004,5.9,True,False,False,False,False,False,False
2021-03-25,14.6,13.6,14.6,1.0,6.8,True,False,False,False,False,False,False
2021-03-26,14.0,12.95,14.0,1.0500000000000007,7.5,True,False,False,False,False,False,False
2021-03-30,13.3,12.35,13.3,0.9500000000000011,7.1,True,False,False,False,False,False,False
2021-03-31,12.8,11.75,12.6,1.0500000000000007,8.3,True,True,False,False,False,False,False
2021-04-01,12.35,11.25,11.25,1.0999999999999996,9.8,True,True,False,False,False,False,False
2021-04-05,12.95,12.6,12.9,0.34999999999999964,2.7,False,False,False,False,False,False,False
2021-04-06,13.55,12.5,13.55,1.0500000000000007,7.7,True,False,False,False,False,False,False
2021-04-07,13.4,12.4,12.75,1.0,7.8,True,False,False,False,False,False,False
2021-04-08,12.9,12.3,12.3,0.5999999999999996,4.9,False,False,False,False,False,False,False
2021-04-09,12.75,12.0,12.25,0.75,6.1,True,False,False,False,False,False,False
2021-04-12,13.0,11.95,13.0,1.0500000000000007,8.1,True,True,False,False,False,False,False
2021-04-13,12.15,11.45,11.5,0.7000000000000011,6.1,True,False,False,False,False,False,False
2021-04-15,12.7,11.5,12.1,1.1999999999999993,9.9,True,True,False,False,False,False,False
2021-04-16,13.25,12.25,12.9,1.0,7.8,True,False,False,False,False,False,False
2021-04-19,13.75,12.6,13.15,1.1500000000000004,8.7,True,True,False,False,False,False,False
2021-04-20,13.4,12.25,12.75,1.1500000000000004,9.0,True,True,False,False,False,False,False
2021-04-22,13.7,12.6,13.3,1.0999999999999996,8.3,True,True,False,False,False,False,False
2021-04-23,14.25,13.25,13.7,1.0,7.3,True,False,False,False,False,False,False
2021-04-26,14.8,13.9,14.8,0.9000000000000004,6.1,True,False,False,False,False,False,False
2021-04-27,14.7,13.55,14.05,1.1499999999999986,8.2,True,True,False,False,False,False,False
2021-04-28,15.4,14.1,15.4,1.3000000000000007,8.4,True,True,False,False,False,False,False
2021-04-29,16.1,15.25,15.55,0.8500000000000014,5.5,True,False,False,False,False,False,False
2021-04-30,15.95,15.15,15.95,0.7999999999999989,5.0,True,False,False,False,False,False,False
2021-05-03,16.3,14.9,15.5,1.4000000000000004,9.0,True,True,False,False,False,False,False
2021-05-04,16.7,16.0,16.0,0.6999999999999993,4.4,False,False,False,False,False,False,False
2021-05-05,16.85,15.6,16.85,1.2500000000000018,7.4,True,False,False,False,False,False,False
2021-05-06,16.95,16.1,16.95,0.8499999999999979,5.0,True,False,False,False,False,False,False
2021-05-07,17.05,15.8,16.25,1.25,7.7,True,False,False,False,False,False,False
2021-05-10,17.7,16.2,17.1,1.5,8.8,True,True,False,False,False,False,False
2021-05-11,18.35,17.0,17.9,1.3500000000000014,7.5,True,False,False,False,False,False,False
2021-05-12,18.8,17.2,18.75,1.6000000000000014,8.5,True,True,False,False,False,False,False
2021-05-14,17.5,16.35,17.2,1.1499999999999986,6.7,True,False,False,False,False,False,False
2021-05-17,17.2,16.15,17.2,1.0500000000000007,6.1,True,False,False,False,False,False,False
2021-05-18,16.65,15.8,16.0,0.8499999999999979,5.3,True,False,False,False,False,False,False
2021-05-19,16.5,15.2,15.65,1.3000000000000007,8.3,True,True,False,False,False,False,False
