Percentage,2%,3%,4%,5%,6%
ARENTERP,98,84,65,13,11
21STCENMGM,9,0,0,0,0
3MINDIA,34,17,5,5,1
3PLAND,45,26,16,9,9
GANESHHOUC,97,80,70,16,11
DNAMEDIA,95,79,51,19,11
A2ZINFRA,39,28,24,16,14
AAKASH,43,30,21,10,7
AAREYDRUGS,17,11,7,4,2
GTLINFRA,93,79,53,26,13
AARTIDRUGS,26,18,9,5,2
AARTIIND,46,18,7,1,1
AARTISURF,46,32,26,13,11
AARVEEDEN,48,36,26,8,3
CTE,90,78,71,8,8
AAVAS,38,22,16,9,5
ABAN,44,39,38,13,13
ABB,38,21,14,5,3
ABBOTINDIA,19,10,5,1,1
ABCAPITAL,48,32,24,12,6
PRAKASHSTL,90,75,55,20,8
ABMINTLLTD,20,15,12,3,3
ABSLAMC,3,1,0,0,0
ACC,23,10,4,2,1
ACCELYA,38,29,20,10,5
RCOM,89,63,38,14,10
ACE,49,36,28,23,15
JPPOWER,87,80,50,22,19
NAGREEKCAP,86,76,59,0,0
ADANIGREEN,43,21,13,0,0
SHREYAS,85,71,62,20,19
ADANIPOWER,46,36,31,7,6
ADANITRANS,44,33,22,10,8
ADFFOODS,42,24,17,9,6
MINDTECK,85,68,64,15,14
JPINFRATEC,84,45,24,3,3
SPTL,83,77,71,8,7
BHANDARI,83,72,50,4,4
ADVENZYMES,34,19,8,5,5
AEGISCHEM,47,27,18,12,7
AFFLE,40,20,13,4,3
ALMONDZ,83,68,52,6,5
AGRITECH,45,36,28,3,2
ISFT,83,62,48,18,14
LYKALABS,82,74,70,0,0
AHLEAST,34,20,11,9,9
AHLUCONT,39,19,10,8,4
AIAENG,22,8,4,1,0
AIRAN,38,25,19,11,9
AIROLAM,12,6,4,3,3
AJANTPHARM,31,17,4,0,0
AJMERA,41,28,19,12,11
AJOONI,37,21,12,4,3
MANAKCOAT,82,71,53,25,20
GTNTEX,82,69,52,3,3
AKG,45,34,23,9,4
PRECOT,82,65,50,5,5
AKSHOPTFBR,41,30,26,12,11
AKZOINDIA,17,8,1,0,0
ALANKIT,34,25,20,15,12
ALBERTDAVD,31,18,14,11,7
ALEMBICLTD,33,19,12,7,6
AJRINFRA,81,65,38,24,18
KAUSHALYA,80,61,23,5,5
ALKEM,23,11,4,1,1
ALKYLAMINE,45,32,20,14,12
