Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-12-01,RAIN,EQ,198.25,206.0,209.35,201.6,209.0,208.3,205.43,1905601,39147094580000.0,24398,813554,0.4269
2021-12-02,RAIN,EQ,208.3,208.45,214.9,208.35,214.0,213.0,212.5,2205009,46856899115000.0,23858,724746,0.3287
2021-12-03,RAIN,EQ,213.0,213.9,214.0,209.2,209.85,210.1,211.8,920813,19503200465000.0,9774,291888,0.317
2021-12-06,RAIN,EQ,210.1,210.1,219.35,209.4,210.9,211.0,215.0,2590488,55696041415000.0,25591,784580,0.3029
2021-12-07,RAIN,EQ,211.0,218.95,221.0,216.0,218.85,218.8,218.54,3109206,67949098050000.0,35285,892449,0.287
2021-12-08,RAIN,EQ,218.8,220.0,223.6,218.5,221.05,221.25,221.02,1412464,31217744430000.0,15072,509736,0.36090000000000005
2021-12-09,RAIN,EQ,221.25,221.8,222.5,219.0,220.5,220.55,220.54,1068518,23565227585000.0,12333,344746,0.3226
2021-12-10,RAIN,EQ,220.55,220.4,222.0,219.0,219.9,220.2,220.45,1195572,26355886545000.0,12432,364950,0.3053
2021-12-13,RAIN,EQ,220.2,222.15,222.15,217.2,218.0,217.8,219.43,1060448,23269430510000.0,14114,397054,0.3744
2021-12-14,RAIN,EQ,217.8,217.7,218.5,216.15,217.7,217.8,217.74,969865,21117526360000.0,10527,244357,0.2519
2021-12-15,RAIN,EQ,217.8,217.95,218.35,216.5,217.75,217.35,217.57,705864,15357161825000.0,9886,282950,0.40090000000000003
2021-12-16,RAIN,EQ,217.35,217.95,218.45,213.5,217.35,217.4,216.54,924836,20026140405000.0,12134,341818,0.36960000000000004
2021-12-17,RAIN,EQ,217.4,216.5,217.65,211.6,214.55,214.2,214.71,1162690,24964350605000.0,13028,547056,0.4705
2021-12-20,RAIN,EQ,214.2,212.0,212.0,198.6,200.5,200.9,205.28,1300757,26701838510000.0,15113,519806,0.3996
2021-12-21,RAIN,EQ,200.9,203.95,204.4,199.5,200.85,200.75,201.74,1060224,21389224810000.0,14141,344239,0.3247
2021-12-22,RAIN,EQ,200.75,201.8,203.2,200.2,201.2,201.1,201.23,868061,17467839550000.0,11179,383353,0.4416
2021-12-23,RAIN,EQ,201.1,202.95,205.65,201.0,202.0,201.8,202.94,1118483,22698433730000.0,16326,528651,0.47270000000000006
2021-12-24,RAIN,EQ,201.8,202.9,202.95,200.6,201.0,201.55,201.73,853168,17211342625000.0,9773,321669,0.37700000000000006
2021-12-27,RAIN,EQ,201.55,201.5,202.75,199.0,201.5,201.4,201.46,782994,15774356394999.998,10311,220651,0.2818
2021-12-28,RAIN,EQ,201.4,203.0,208.3,201.0,206.6,206.95,204.93,1851608,37944533900000.0,18819,709707,0.3833
2021-12-29,RAIN,EQ,206.95,208.55,233.8,208.55,230.3,231.0,226.77,17228183,390685803890000.0,135205,2884519,0.1674
2021-12-30,RAIN,EQ,231.0,230.0,238.0,227.55,232.65,232.95,233.44,6939566,162000229200000.0,56744,1353014,0.195
2021-12-31,RAIN,EQ,232.95,230.95,244.8,230.0,239.7,239.8,239.8,6473107,155227398115000.0,51040,2054424,0.3174
2022-01-03,RAIN,EQ,239.8,240.65,240.65,235.05,235.6,235.7,236.63,1957737,46326138625000.0,15285,755087,0.3857
2022-01-04,RAIN,EQ,235.7,235.9,248.0,231.75,243.8,243.0,242.25,6059472,146790489355000.0,49350,1575922,0.2601
2022-01-05,RAIN,EQ,243.0,243.95,244.9,238.2,240.55,240.4,241.31,1662064,40107045275000.0,15528,457036,0.275
2022-01-06,RAIN,EQ,240.4,238.0,249.0,236.0,244.4,245.0,244.74,3736549,91449185210000.0,33161,904059,0.242
2022-01-07,RAIN,EQ,245.0,246.4,249.7,240.5,242.8,244.8,244.71,3141190,76868458030000.0,28586,647361,0.2061
